City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Marawi,PH,69.17,overcast clouds,7.9986,124.2928,Derogongan Residence
418,Kloulklubed,PW,83.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
419,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
420,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
421,Mansar,IN,76.73,overcast clouds,21.4,79.25,OYO 69410 Sip & Bite Restaurant N Lodging
423,Olean,US,75.88,clear sky,42.0776,-78.4297,Best Western Plus University Inn
424,Pucallpa,PE,87.84,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
427,Donduseni,MD,70.99,overcast clouds,48.2427,27.6101,Hotel Ellegance
428,Leshukonskoye,RU,71.08,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
429,Gornopravdinsk,RU,69.01,light rain,60.05,69.9,Hostel
430,Vozhega,RU,71.94,broken clouds,60.4725,40.2213,гостиница Перекресток
431,Takoradi,GH,77.95,overcast clouds,4.8845,-1.7554,Raybow International Hotel
432,Lufilufi,WS,73.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
433,Clovis,US,92.61,few clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
435,Goderich,CA,66.9,scattered clouds,43.7501,-81.7165,Harmony Inn
436,Ubinskoye,RU,66.88,scattered clouds,55.3068,79.6802,Gostinitsa Siberia
438,Sliema,MT,81.09,few clouds,35.9125,14.5019,Grand Hotel Excelsior Malta
439,Amapa,BR,84.97,scattered clouds,1.0,-52.0,
440,San Pedro,PH,83.43,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
441,Curaca,BR,81.73,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
442,Boralday,KZ,71.46,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
443,Mananara,MG,69.42,few clouds,-16.1667,49.7667,Chez Roger
444,Russell,US,88.88,scattered clouds,32.3502,-85.1999,Macs
446,Matadi,CD,82.56,broken clouds,-5.8167,13.45,Hotel Vivi Palace
447,Gambela,ET,72.45,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
448,The Valley,AI,87.66,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
449,Machala,EC,73.35,overcast clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
450,Saint-Ambroise,CA,76.59,scattered clouds,48.5501,-71.3324,Motel Saint-Ambroise
451,Avera,US,82.45,overcast clouds,33.194,-82.5271,
452,Quatre Cocos,MU,70.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
453,Banda Aceh,ID,81.03,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
455,Estevan,CA,73.22,scattered clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
457,Meulaboh,ID,77.58,overcast clouds,4.1363,96.1285,Kost Pria
458,Porto Novo,BJ,78.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
459,Bolshaya Sosnova,RU,73.2,scattered clouds,57.6713,54.6029,Gostinitsa
461,Isabela,PH,79.38,broken clouds,6.7085,121.9711,Isawad Resort
462,Topeka,US,86.9,clear sky,39.0483,-95.678,Hotel Topeka At City Center
463,Sao Filipe,CV,74.53,scattered clouds,14.8961,-24.4956,Hotel Xaguate
465,Lingyuan,CN,65.57,clear sky,41.24,119.4011,Guomao Hotel
466,Oktyabrskoye,RU,78.94,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
468,Herne Bay,GB,80.74,scattered clouds,51.373,1.1286,Westgrange House Bed and Breakfast
469,Beyneu,KZ,90.48,clear sky,45.3167,55.2,NUR
470,Basco,PH,83.62,few clouds,20.4487,121.9702,Nathaniel's Lodge
471,Rach Gia,VN,77.74,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
472,Tarauaca,BR,92.62,broken clouds,-8.1614,-70.7656,Flat Temporada
473,Salym,RU,66.83,light rain,60.0625,71.4789,Gostinitsa Salym
474,Patrocinio,BR,77.45,few clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
476,Fengrun,CN,69.12,clear sky,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
477,Muisne,EC,76.3,overcast clouds,0.6,-80.0333,Quinta Samay
478,San Joaquin,US,82.54,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
480,Otacilio Costa,BR,70.34,broken clouds,-27.4831,-50.1219,Hotel Daieli
481,Samarai,PG,80.46,few clouds,-10.6167,150.6667,Nuli Sapi
482,Dunkwa,GH,77.97,light rain,5.9656,-1.78,Tim Freeman Gold City Hotel
483,Uray,RU,72.23,few clouds,60.1247,64.7758,Hotel Pioner
485,Van,TR,72.75,few clouds,38.4924,43.3831,Elite World Van Hotel
487,Yibin,CN,82.9,few clouds,28.7667,104.6238,Handsome Guesthouse
491,Kapit,MY,72.73,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
492,Vao,NC,75.96,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
493,Conceicao Da Barra,BR,77.61,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
494,Yenagoa,NG,76.64,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
496,Cortez,US,86.76,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
499,Carmen,MX,86.04,clear sky,18.6333,-91.8333,Hotel Lossandes
505,Saint-Michel-Des-Saints,CA,78.94,few clouds,46.6834,-73.9159,Motel Du Mont trinity
506,Nantucket,US,75.34,clear sky,41.2835,-70.0995,Jared Coffin House
507,Suozhen,CN,74.3,overcast clouds,36.9539,118.1047,Jianguo Hotel
508,Madingou,CG,82.71,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
509,Bubaque,GW,80.42,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
511,Basar,IN,74.07,broken clouds,27.9833,94.6667,Dolma Group of Hotels
513,Pemberton,CA,65.89,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
514,Cochrane,CA,68.76,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
519,Buluang,PH,77.85,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
520,San Antero,CO,85.41,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
521,Barranca,PE,65.39,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
523,Black River,JM,91.42,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
526,Anloga,GH,77.99,broken clouds,5.7947,0.8973,Pin Drop Hotel
527,Guarapari,BR,74.89,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
528,Wadena,US,73.15,scattered clouds,46.4425,-95.1361,Eastwood Inn of Wadena
529,Belmonte,BR,77.34,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
530,Manakara,MG,67.62,scattered clouds,-22.1333,48.0167,La Residence Manakara
531,Quanzhou,CN,78.53,broken clouds,24.9139,118.5858,Super 8 Hotel Quanzhou new station shop
532,Kaseda,JP,77.56,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
535,Axim,GH,77.95,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
539,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
543,Hualmay,PE,66.4,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
544,Reconquista,AR,82.94,broken clouds,-29.15,-59.65,Grand Hotel
545,Bonthe,SL,76.77,light rain,7.5264,-12.505,Bonthe Holiday Village
546,Sarakhs,IR,89.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
547,Breves,BR,89.44,few clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
548,Ceyhan,TR,82.74,clear sky,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
549,Bridgetown,BB,86.49,broken clouds,13.1,-59.6167,Hilton Barbados Resort
550,Thinadhoo,MV,82.92,overcast clouds,0.5333,72.9333,
551,Northam,GB,76.24,clear sky,51.0333,-4.2167,Durrant House Hotel
552,Pringsewu,ID,71.15,overcast clouds,-5.3582,104.9744,Urban Style by Front One
554,Siuna,NI,83.05,broken clouds,13.7332,-84.7773,hotel los chinitos
558,La Rioja,ES,91.18,clear sky,42.25,-2.5,Casa Concejos
559,Ciudad Bolivar,VE,84.6,broken clouds,8.1222,-63.5497,Hotel Edi
560,Skibbereen,IE,69.12,few clouds,51.55,-9.2667,The West Cork Hotel
562,Singur,IN,82.29,scattered clouds,22.8092,88.2294,Big♨Boss Restaurant & Banquet
563,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
564,Bourail,NC,73.33,broken clouds,-21.5667,165.4833,Motel Allamanda
566,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
